month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,18,6,,,,,,,,,0.0
1,18,6,,,,,,,,,0.0
1,18,6,,,,,,,,,0.0
1,19,6,,,,,,,,,0.0
1,19,6,,,,,,,,,0.0
1,19,6,,,,,,,,,0.0
1,19,6,,,,,,,,,0.0
1,20,6,,,,,,,,,0.0
1,20,6,,,,,,,,,0.0
1,20,6,,,,,,,,,0.0
1,20,6,,,,,,,,,0.0
1,21,6,,,,,,,,,0.0
1,21,6,,,,,,,,,0.0
1,21,6,,,,,,,,,0.0
1,21,6,,,,,,,,,0.0
1,22,6,,,,,,,,,0.0
1,22,6,,,,,,,,,0.0
1,22,6,,,,,,,,,0.0
1,22,6,,,,,,,,,0.0
1,23,6,,,,,,,,,0.0
1,23,6,,,,,,,,,0.0
1,23,6,,,,,,,,,0.0
1,23,6,,,,,,,,,0.0
1,24,6,,,,,,,,,0.0
1,24,6,,,,,,,,,0.0
1,24,6,,,,,,,,,0.0
1,24,6,,,,,,,,,0.0
1,1,7,,,,,,,,,0.0
1,1,7,,,,,,,,,0.0
1,1,7,,,,,,,,,0.0
1,1,7,,,,,,,,,0.0
1,2,7,,,,,,,,,0.0
1,2,7,,,,,,,,,0.0
1,2,7,,,,,,,,,0.0
1,2,7,,,,,,,,,0.0
1,3,7,,,,,,,,,0.0
1,3,7,,,,,,,,,0.0
1,3,7,,,,,,,,,0.0
1,3,7,,,,,,,,,0.0
1,4,7,,,,,,,,,0.0
1,4,7,,,,,,,,,0.0
1,4,7,,,,,,,,,0.0
1,4,7,,,,,,,,,0.0
1,5,7,,,,,,,,,0.0
1,5,7,,,,,,,,,0.0
1,5,7,,,,,,,,,0.0
1,5,7,,,,,,,,,0.0
1,6,7,,,,,,,,,0.0
1,6,7,,,,,,,,,0.0
1,6,7,,,,,,,,,0.0
1,6,7,,,,,,,,,0.0
1,7,7,,,,,,,,,0.0
1,7,7,,,,,,,,,0.0
1,7,7,,,,,,,,,0.0
1,7,7,,,,,,,,,0.0
1,8,7,,,,,,,,,0.0
1,8,7,,,,,,,,,0.0
1,8,7,,,,,,,,,0.0
1,8,7,,,,,,,,,0.0
1,9,7,,,,,,,,,0.0
1,9,7,,,,,,,,,0.0
1,9,7,,,,,,,,,0.0
1,9,7,,,,,,,,,0.01
1,10,7,,,,,,,,,0.09
1,10,7,,,,,,,,,0.0925
1,10,7,,,,,,,,,0.12
1,10,7,,,,,,,,,0.1825
1,11,7,,,,,,,,,0.17
1,11,7,,,,,,,,,0.225
1,11,7,,,,,,,,,0.4875
1,11,7,,,,,,,,,0.36
1,12,7,,,,,,,,,0.11
1,12,7,,,,,,,,,0.065
1,12,7,,,,,,,,,0.07
1,12,7,,,,,,,,,0.12
1,13,7,,,,,,,,,0.19
1,13,7,,,,,,,,,0.305
1,13,7,,,,,,,,,0.4675
1,13,7,,,,,,,,,0.4725
1,14,7,,,,,,,,,0.5
1,14,7,,,,,,,,,1.545
1,14,7,,,,,,,,,1.5225
1,14,7,,,,,,,,,1.315
1,15,7,,,,,,,,,0.89
1,15,7,,,,,,,,,0.98
1,15,7,,,,,,,,,0.47
1,15,7,,,,,,,,,0.655
1,16,7,,,,,,,,,0.7075
1,16,7,,,,,,,,,0.8
1,16,7,,,,,,,,,1.055
1,16,7,,,,,,,,,0.4175
1,17,7,,,,,,,,,0.785
1,17,7,,,,,,,,,0.85
1,17,7,,,,,,,,,0.2925
1,17,7,,,,,,,,,0.795
1,18,7,,,,,,,,,0.2475
1,18,7,,,,,,,,,0.065
1,18,7,,,,,,,,,0.005
1,18,7,,,,,,,,,0.0
1,19,7,,,,,,,,,0.0
1,19,7,,,,,,,,,0.0
1,19,7,,,,,,,,,0.0
1,19,7,,,,,,,,,0.0
1,20,7,,,,,,,,,0.0
1,20,7,,,,,,,,,0.0
1,20,7,,,,,,,,,0.0
1,20,7,,,,,,,,,0.0
