timestamp,Net Electricity Consumption-kWh,Non-shiftable Load-kWh,Non-shiftable Load Electricity Consumption-kWh,Energy Production from PV-kWh
2025-08-09T23:00:00,1.8362500667572021,2.0,2.0,-0.16374999284744263
2025-08-09T23:15:00,1.8899999856948853,2.0,2.0,-0.10999999940395355
2025-08-09T23:30:00,2.1962499618530273,2.25,2.25,-0.05375000089406967
2025-08-09T23:45:00,1.9900000095367432,2.0,2.0,-0.009999999776482582
2025-08-10T00:00:00,2.0,2.0,2.0,-0.0
2025-08-10T00:15:00,2.0,2.0,2.0,-0.0
2025-08-10T00:30:00,2.0,2.0,2.0,-0.0
2025-08-10T00:45:00,2.0,2.0,2.0,-0.0
2025-08-10T01:00:00,2.0,2.0,2.0,-0.0
2025-08-10T01:15:00,2.5,2.5,2.5,-0.0
2025-08-10T01:30:00,2.25,2.25,2.25,-0.0
2025-08-10T01:45:00,2.0,2.0,2.0,-0.0
2025-08-10T02:00:00,2.0,2.0,2.0,-0.0
2025-08-10T02:15:00,2.0,2.0,2.0,-0.0
2025-08-10T02:30:00,2.0,2.0,2.0,-0.0
2025-08-10T02:45:00,2.0,2.0,2.0,-0.0
2025-08-10T03:00:00,2.0,2.0,2.0,-0.0
2025-08-10T03:15:00,1.75,1.75,1.75,-0.0
2025-08-10T03:30:00,2.0,2.0,2.0,-0.0
2025-08-10T03:45:00,1.75,1.75,1.75,-0.0
2025-08-10T04:00:00,1.9812500476837158,2.0,2.0,-0.01875000074505806
2025-08-10T04:15:00,1.6675000190734863,1.75,1.75,-0.08250000327825546
2025-08-10T04:30:00,1.8487499952316284,2.0,2.0,-0.15125000476837158
2025-08-10T04:45:00,1.5049999952316284,1.75,1.75,-0.24500000476837158
2025-08-10T05:00:00,1.7287499904632568,2.0,2.0,-0.27125000953674316
2025-08-10T05:15:00,1.6737500429153442,2.0,2.0,-0.32624998688697815
2025-08-10T05:30:00,1.4287500381469727,2.0,2.0,-0.5712500214576721
2025-08-10T05:45:00,0.8987500071525574,1.75,1.75,-0.8512499928474426
2025-08-10T06:00:00,0.8937499523162842,2.0,2.0,-1.1062500476837158
2025-08-10T06:15:00,0.6212500333786011,2.0,2.0,-1.378749966621399
2025-08-10T06:30:00,0.1262500286102295,1.75,1.75,-1.6237499713897705
2025-08-10T06:45:00,0.16750001907348633,2.0,2.0,-1.8324999809265137
2025-08-10T07:00:00,0.1875,1.787500023841858,1.787500023841858,-1.600000023841858
2025-08-10T07:15:00,1.022499918937683,2.4149999618530273,2.4149999618530273,-1.3925000429153442
2025-08-10T07:30:00,0.6100000143051147,2.302500009536743,2.302500009536743,-1.6924999952316284
2025-08-10T07:45:00,0.0,1.7400000095367432,1.7400000095367432,-2.396250009536743
2025-08-10T08:00:00,0.0,2.2925000190734863,2.2925000190734863,-2.684999942779541
2025-08-10T08:15:00,0.4049999713897705,3.4024999141693115,3.4024999141693115,-2.997499942779541
2025-08-10T08:30:00,0.7587499618530273,3.8924999237060547,3.8924999237060547,-3.1337499618530273
2025-08-10T08:45:00,0.3425002098083496,3.702500104904175,3.702500104904175,-3.359999895095825
2025-08-10T09:00:00,1.2375001907348633,4.712500095367432,4.712500095367432,-3.4749999046325684
2025-08-10T09:15:00,0.0,3.507499933242798,3.507499933242798,-3.559999942779541
2025-08-10T09:30:00,0.06749987602233887,3.747499942779541,3.747499942779541,-3.680000066757202
2025-08-10T09:45:00,0.0,3.4149999618530273,3.4149999618530273,-3.762500047683716
2025-08-10T10:00:00,0.6324999332427979,3.700000047683716,3.700000047683716,-3.067500114440918
2025-08-10T10:15:00,0.7762501239776611,3.7850000858306885,3.7850000858306885,-3.0087499618530273
2025-08-10T10:30:00,0.01874995231628418,3.134999990463257,3.134999990463257,-3.1162500381469727
2025-08-10T10:45:00,1.5274999141693115,4.542500019073486,4.542500019073486,-3.015000104904175
2025-08-10T11:00:00,1.7099997997283936,4.869999885559082,4.869999885559082,-3.1600000858306885
2025-08-10T11:15:00,1.742499828338623,4.994999885559082,4.994999885559082,-3.252500057220459
2025-08-10T11:30:00,0.0,4.017499923706055,4.017499923706055,-4.091249942779541
2025-08-10T11:45:00,0.0,4.46999979019165,4.46999979019165,-4.581250190734863
2025-08-10T12:00:00,0.0,4.449999809265137,4.449999809265137,-4.636250019073486
2025-08-10T12:15:00,0.0,4.119999885559082,4.119999885559082,-4.707499980926514
2025-08-10T12:30:00,0.0,3.859999895095825,3.859999895095825,-4.71750020980835
2025-08-10T12:45:00,0.0,3.2750000953674316,3.2750000953674316,-4.699999809265137
2025-08-10T13:00:00,0.0,3.8475000858306885,3.8475000858306885,-4.161250114440918
2025-08-10T13:15:00,0.0,4.352499961853027,4.352499961853027,-3.6312499046325684
2025-08-10T13:30:00,0.0,3.680000066757202,3.680000066757202,-3.994999885559082
2025-08-10T13:45:00,0.0,3.5399999618530273,3.5399999618530273,-4.991250038146973
