timestamp,Net Electricity Consumption-kWh,Non-shiftable Load-kWh,Non-shiftable Load Electricity Consumption-kWh,Energy Production from PV-kWh
2025-02-09T13:45:00,5.447499752044678,5.659999847412109,5.659999847412109,-0.21250000596046448
2025-02-09T14:00:00,4.074166774749756,4.445000171661377,4.445000171661377,-0.3708333373069763
2025-02-09T14:15:00,4.136666297912598,4.864999771118164,4.864999771118164,-0.7283333539962769
2025-02-09T14:30:00,3.634999990463257,4.085000038146973,4.085000038146973,-0.44999998807907104
2025-02-09T14:45:00,5.479166507720947,5.835000038146973,5.835000038146973,-0.3558333218097687
2025-02-09T15:00:00,3.950833559036255,4.260000228881836,4.260000228881836,-0.30916666984558105
2025-02-09T15:15:00,3.550833225250244,3.759999990463257,3.759999990463257,-0.20916666090488434
2025-02-09T15:30:00,3.1966664791107178,3.3499999046325684,3.3499999046325684,-0.15333333611488342
2025-02-09T15:45:00,3.4616665840148926,3.615000009536743,3.615000009536743,-0.15333333611488342
2025-02-09T16:00:00,4.012499809265137,4.210000038146973,4.210000038146973,-0.19750000536441803
2025-02-09T16:15:00,4.254166603088379,4.454999923706055,4.454999923706055,-0.20083333551883698
2025-02-09T16:30:00,4.663333415985107,4.855000019073486,4.855000019073486,-0.19166666269302368
2025-02-09T16:45:00,4.215000152587891,4.402500152587891,4.402500152587891,-0.1875
2025-02-09T17:00:00,6.24500036239624,6.590000152587891,6.590000152587891,-0.3449999988079071
2025-02-09T17:15:00,6.7816667556762695,7.480000019073486,7.480000019073486,-0.6983333230018616
2025-02-09T17:30:00,7.223333358764648,7.627500057220459,7.627500057220459,-0.40416666865348816
2025-02-09T17:45:00,6.243333339691162,6.53249979019165,6.53249979019165,-0.289166659116745
2025-02-09T18:00:00,5.75,6.005000114440918,6.005000114440918,-0.2549999952316284
2025-02-09T18:15:00,6.829999923706055,7.0,7.0,-0.17000000178813934
2025-02-09T18:30:00,6.133333206176758,6.25,6.25,-0.11666666716337204
